A	B-	92.8800	2.4100	6	3	70.1800	42.6300	5.5100	33.0000	20.5500	6.8100
AA	C+	12.6900	0.6300	3	3	65.0700	\N	0.2200	33.0000	74.7900	11.2200
AAL	B-	13.4400	16.1600	4	3	53.5800	\N	0.1500	\N	9.3600	-19.5200
AAN	B	44.9000	4.8300	4	1	58.0700	\N	0.7500	10.8500	93.1200	2.1800
AAOI	B	11.1200	3.8300	2	2	58.3500	\N	1.3200	\N	27.5200	23.1500
AAON	B-	57.6600	2.5200	7	3	65.0400	47.0700	6.0000	33.0000	23.6800	9.3900
AAP	C+	143.6800	3.6800	6	3	58.2200	26.1900	1.0400	28.1100	28.3000	4.2300
AAPL	B	390.9000	0.6900	8	3	75.8500	30.6400	6.3100	32.1200	37.4300	13.9700
AAT	C+	26.7700	1.5200	7	5	46.7600	33.0100	4.1300	\N	-0.3000	-11.0900
AAWW	B-	48.7200	2.2500	4	2	76.8100	\N	0.4600	6.0100	103.9300	19.2400
AAXN	B-	92.6400	-0.2000	3	4	49.8900	\N	10.4400	33.0000	24.9700	-7.6800
AB	B	28.6400	2.7600	\N	1	67.7900	10.8800	9.8400	33.0000	43.4200	10.8400
ABB	B-	24.6000	-0.9300	5	3	71.3900	54.1900	1.9400	33.0000	42.2000	16.6400
ABBV	C+	100.4800	1.6300	7	2	64.5200	17.7800	5.2600	25.5500	22.8100	7.9500
ABC	B+	101.9000	2.5900	8	2	62.3100	13.4200	0.1100	12.8300	15.3600	5.9100
ABCB	B	22.5800	7.4700	\N	2	51.1800	9.8900	2.1400	\N	3.2500	-6.4600
ABG	B	101.1000	4.1300	6	1	73.7600	11.9300	0.2600	4.5700	90.0400	29.5300
ABM	B+	35.8400	5.7200	\N	1	55.3000	\N	0.3600	9.8600	17.3200	10.5100
ABMD	C+	276.6400	4.6300	5	4	76.5200	62.4800	14.8800	33.0000	73.4000	12.3000
ABR	B-	8.7400	9.2500	\N	3	52.6900	19.4700	1.8000	\N	38.9500	-9.3400
ABT	C+	96.7300	2.0100	7	3	66.2100	48.5300	5.3700	33.0000	6.3700	8.0200
ABTX	B	24.0500	5.2500	\N	3	51.3400	11.6400	2.0200	11.4300	5.9500	-6.7100
ACA	B-	42.7500	3.3400	\N	3	60.4600	17.8100	1.1000	11.2500	9.0000	4.0400
ACAD	B	55.1300	2.6200	6	3	59.4400	\N	23.7300	\N	22.0000	18.5800
ACAM	C+	10.3500	-0.1000	\N	\N	61.1500	127.7800	\N	\N	7.8100	2.9900
ACC	B	34.5100	2.9200	7	3	53.0800	35.6100	4.9700	33.0000	2.4600	-4.1100
ACEL	C+	9.8600	2.9200	5	4	57.7200	\N	1.4000	\N	16.9600	-5.9200
ACGL	B	30.3400	4.9800	\N	3	60.9600	9.7000	1.7700	4.9400	10.9300	-1.9100
ACHC	B	27.6300	8.2000	6	2	59.8400	21.5000	0.7400	7.1700	21.7700	1.1700
ACIA	B-	67.7500	0.0700	6	3	51.6200	70.2100	5.8300	33.0000	0.7700	-0.3700
ACIW	C+	27.2200	5.0600	6	\N	57.5700	47.5000	2.2900	23.4500	11.9200	0.1500
ACLS	B	27.5900	-0.6500	\N	3	52.9400	42.1900	2.4400	30.7300	28.3900	4.4700
ACM	C+	37.9400	4.7800	5	2	56.0100	\N	0.3600	22.2200	19.2000	-3.3600
ACMR	C+	83.8900	-7.5700	6	3	61.7300	87.4800	14.4400	33.0000	150.5700	43.4000
ACN	C+	219.7600	0.2700	6	3	63.4100	28.6300	3.2600	29.0700	29.6900	10.0000
ACP	C	10.0600	4.0300	\N	\N	79.2900	\N	\N	\N	28.1500	13.4200
ACRE	B	9.0000	7.1400	\N	1	57.4900	20.2700	1.9700	\N	24.6500	-0.9900
ACTT	D-	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
ACWI	B-	77.4600	0.9900	\N	3	64.7300	\N	\N	\N	17.8500	6.0100
ACWV	B-	89.9200	0.5100	\N	\N	60.9100	\N	\N	\N	5.3400	2.7000
ACWX	C+	45.5600	1.0200	\N	3	64.8000	\N	\N	\N	18.6500	6.2500
ADBE	B	433.0100	-0.1800	7	3	52.7200	57.0500	17.0500	33.0000	30.2100	7.8900
ADC	B	64.0600	1.4400	\N	3	48.2900	33.3600	16.9200	33.0000	4.4300	-8.6300
ADES	B	4.8500	4.9800	5	\N	49.7600	4.5800	1.4100	2.4300	-27.1800	-4.3400
ADI	B-	117.9000	-0.0900	\N	3	48.8300	39.3500	7.8200	33.0000	17.3700	-0.5100
ADM	C+	40.9000	1.1400	2	3	61.1600	14.8100	0.3400	\N	15.2400	3.5400
ADNT	B-	18.2400	1.8400	6	1	58.3800	\N	0.1100	33.0900	73.5500	-0.6000
ADP	B-	148.6000	2.1400	6	4	53.6000	25.4800	4.3000	33.0000	7.9600	0.8900
ADPT	B+	43.5900	0.7900	\N	2	45.9000	\N	62.6500	\N	53.3200	-2.0000
ADS	B	43.7800	8.0200	7	3	49.4500	5.4400	0.3600	\N	26.8300	-13.9200
ADSK	B-	235.5800	0.4200	8	3	54.5500	149.0000	15.3200	33.0000	39.2800	2.8700
ADSW	C	30.1500	-0.1300	5	3	29.0400	\N	1.6700	33.0000	-5.9000	-3.8000
ADUS	B-	92.3300	4.9200	5	2	54.7700	61.3100	2.4000	33.0000	21.7900	-2.3700
ADVM	B-	18.0800	-1.8500	1	3	37.1100	\N	5143.1600	\N	62.0100	-23.7100
ADX	B	15.5300	0.5800	\N	\N	64.4100	3.5300	50.3900	\N	14.1100	5.2200
AEE	B-	75.9300	-0.8400	5	3	65.5200	24.0100	3.2000	11.9500	0.5700	4.9600
AEIS	B-	70.1100	0.1300	4	2	59.8600	45.4100	2.8200	33.0000	42.3800	7.8600
AEL	B	25.6500	5.3800	\N	3	61.5500	4.6000	1.0500	2.1200	32.9000	11.8100
AEM	B+	65.8200	1.1200	6	3	56.1700	38.1100	6.1600	\N	25.0100	7.8700
AEO	B-	11.1000	5.2100	5	3	53.7400	\N	0.4500	\N	29.8200	-7.4200
AEP	B-	84.6800	-0.7900	4	3	61.2300	22.7400	2.6800	15.5200	1.2800	3.5700
AER	B	32.7900	8.1800	7	3	57.6100	3.6800	0.8600	2.2300	35.4400	-4.1800
AERI	C-	13.7500	4.6400	3	3	45.1300	\N	7.8300	\N	-10.9500	-5.2400
AES	C	15.0700	2.1000	4	4	64.8500	34.4900	0.9800	\N	18.7500	17.0000
AFG	B-	62.2800	3.6100	\N	3	53.4400	21.4800	0.7100	2.6300	-11.2900	-3.1100
AFIN	C+	7.4600	2.4700	5	3	48.0700	\N	2.7000	\N	10.6800	-12.8500
AFL	B	36.2800	1.7700	\N	3	54.1000	9.1300	1.1600	5.5700	1.4800	-2.2600
AFYA	B-	22.7600	-0.7000	\N	4	49.0800	32.6500	13.5700	33.0000	23.1600	0.9800
AGCO	B-	61.8800	2.1800	6	1	68.3000	46.9100	0.5100	16.9400	29.5400	11.1900
AGG	B+	118.6800	0.0100	\N	\N	69.2200	\N	\N	\N	1.2300	0.6000
AGGY	B-	54.1900	0.0900	\N	\N	70.5200	\N	\N	\N	1.8600	0.7600
AGIO	B	52.1900	2.7200	3	3	52.5500	\N	20.7500	\N	23.6400	8.0700
AGN	B+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
AGNC	B-	13.4000	3.2400	\N	2	58.3300	\N	60.7500	33.0000	16.7200	-0.6700
AGNCO	D-	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
AGO	C	24.0400	3.7500	\N	\N	48.7000	8.2200	2.3200	\N	-14.1400	-11.7800
AGQ	B	33.3800	1.5500	\N	\N	70.5200	\N	\N	\N	49.5500	25.0700
AGR	B-	45.2000	0.1600	6	3	66.5800	19.3500	2.1600	\N	0.6900	5.2900
AGS	B	3.5300	16.1200	4	2	48.8300	\N	0.3900	2.1100	7.9500	-26.7600
AGX	B	46.4500	2.5600	\N	\N	65.1400	\N	2.8400	6.5200	35.1100	13.0200
AGYS	C+	17.7400	4.9700	3	3	47.5000	\N	2.5100	33.0000	3.5600	-14.5900
AHCO	B+	18.9900	-0.0500	5	2	54.3500	\N	1.9700	\N	9.9000	12.4300
AHH	B-	9.6500	2.1200	7	3	56.0400	23.2000	1.7800	\N	10.7900	1.6900
AIG	B-	31.7700	3.1800	\N	3	54.9500	6.4600	0.4900	\N	31.9400	-4.2800
AIMC	B	33.7400	4.6400	5	2	63.3500	\N	1.2000	13.2600	84.6000	9.3100
AIMT	C+	16.8000	5.3300	4	3	49.3600	\N	1795.6400	\N	7.6200	-9.7300
AIN	B-	54.4600	4.4700	7	4	49.0300	15.6800	1.6700	20.1200	21.4000	-9.0800
AINV	B-	9.5900	3.0100	\N	3	51.7500	\N	2.2200	\N	18.5400	-13.6000
AIR	B	19.4600	1.8800	4	3	48.7100	10.0700	0.2900	\N	13.6700	-15.2400
AIT	C+	63.1700	1.8500	5	3	59.7300	69.4900	0.7000	11.9000	37.5400	3.5600
AIV	C	38.1800	0.8500	4	4	53.7200	28.2000	6.1800	33.0000	1.8700	-2.4500
AIZ	B-	103.8500	2.2900	\N	4	55.5500	18.8200	0.5900	7.6100	2.4100	-3.0500
AJG	B-	101.4900	0.4200	5	3	64.9600	29.1200	2.6800	21.8700	21.3300	6.6900
AJRD	C	38.1500	5.7400	5	4	48.2000	23.8400	1.5100	13.6300	-7.6300	-7.1600
AJX	B-	8.7000	6.4900	\N	5	51.6700	9.1500	1.6600	\N	13.4300	-6.5500
AKAM	B-	112.7800	0.4500	7	3	63.8800	37.5100	6.2000	23.0300	12.3400	12.1700
AKCA	B-	12.8700	5.0600	6	3	39.5100	\N	3.9200	13.3100	-17.8200	-8.1400
AKR	C	12.3600	3.6000	5	3	47.8200	33.1400	3.5700	\N	-0.2400	-13.5100
AKRO	B	37.3100	6.0200	\N	3	66.5100	\N	\N	\N	74.1000	49.9000
AL	B-	29.9600	7.0400	3	3	56.6600	5.9600	1.5900	3.0500	28.0300	-6.9000
ALB	B-	86.6000	2.9100	4	4	68.5900	18.1700	2.5300	\N	48.6700	13.3400
ALC	B	59.8200	5.0200	\N	3	58.0100	\N	3.8800	\N	18.0300	3.2300
ALE	B-	59.0800	-0.1200	5	4	65.3400	16.8600	2.4600	\N	2.7100	1.1500
ALEC	B	22.8000	1.3100	\N	3	36.4600	\N	81.5600	\N	2.4000	-23.3800
ALEX	B-	12.5700	1.5300	5	3	55.1700	\N	2.2500	12.0200	8.1800	-3.6800
ALGN	B	314.3000	4.9000	\N	3	73.5600	13.1800	10.3100	33.0000	70.9700	21.4500
ALGT	B	118.8100	6.1800	6	3	61.5200	13.7100	0.9900	\N	52.8700	4.0000
ALK	B	38.7600	9.2100	7	3	59.3200	9.0900	0.5400	4.8100	28.8600	2.6200
ALKS	B	19.0300	-0.0500	4	3	55.3900	\N	2.5700	\N	23.3300	16.6100
ALL	B-	90.1300	0.4500	\N	3	42.7800	7.5600	0.6400	6.3900	-7.9700	-7.8700
ALLE	C+	106.8000	2.4600	\N	2	62.2900	31.2100	3.3900	26.9400	13.0600	4.0400
ALLK	C+	76.2600	5.9200	3	3	58.3400	\N	\N	\N	24.0800	3.2600
ALLO	B+	41.5900	1.3200	\N	3	44.9400	\N	\N	\N	62.0200	-1.0000
ALLY	B	21.9100	5.2400	\N	3	62.6400	8.5200	0.7900	\N	54.7300	4.5800
ALNY	B-	158.0200	0.5000	3	3	60.0200	\N	62.2000	\N	30.0600	23.0900
ALRM	C+	69.3900	1.0500	5	4	66.5100	65.4000	6.2000	33.0000	62.6600	15.8600
ALSN	B-	36.9000	2.4100	5	3	55.1600	7.7200	1.5400	7.4000	10.0200	-1.5500
ALTR	B	37.9500	1.2300	4	3	50.8700	\N	6.0000	33.0000	34.0500	0.7200
ALV	B	67.7300	1.6400	7	3	60.7800	13.9200	0.7000	\N	25.1200	6.0900
ALXN	B+	111.1300	2.3600	8	3	51.6000	10.4700	4.6200	11.8000	14.6400	0.6200
AMAT	B-	62.1000	-0.7000	4	3	58.0600	19.7800	3.7400	27.5300	23.2900	8.8500
AMBA	C-	46.6900	-2.0400	3	4	43.8500	\N	6.7800	33.0000	-2.6500	-9.9200
AMBC	D+	14.1000	4.4400	\N	\N	53.2400	\N	1.8700	\N	-0.9100	-7.7200
AMCR	C+	10.7000	0.8500	\N	3	61.0900	31.7500	1.3900	33.0000	23.7000	4.9000
AMCX	B-	25.6000	4.2300	5	4	51.9600	4.7600	0.4200	2.9900	10.8200	-12.7800
AMD	B-	55.3400	1.1300	7	1	54.8700	135.9700	9.1700	33.0000	0.6400	1.2100
AME	B-	93.2200	1.5600	4	2	63.7900	22.8600	4.1800	22.2500	22.5800	5.6000
AMED	B-	211.0100	3.1100	6	3	61.7700	54.7900	3.4000	33.0000	2.4800	19.9700
AMEH	B-	17.2200	3.2400	6	4	57.3600	35.0700	1.3900	33.0000	22.5600	9.4700
AMG	B	72.9300	3.5600	7	3	52.4800	18.4400	1.5000	3.4400	21.6900	-0.7500
AMGN	B-	253.3100	0.0900	6	3	62.2800	19.8400	6.2800	28.7300	14.2100	15.2600
AMH	C+	27.2600	0.7400	6	3	57.0200	91.1700	7.1600	23.4300	10.7200	-0.7300
AMJ	B-	12.8000	6.6700	\N	\N	44.3500	\N	\N	\N	21.4400	-16.0100
AMK	B	29.1800	3.3300	\N	2	63.8200	\N	4.7300	33.0000	41.5100	8.1900
AMKR	B+	12.1800	-0.5300	6	3	55.1200	14.1200	0.7000	10.5900	40.9100	3.6200
